ExperimentID,ExperimentName,GameNum,P1_Algo,P1_Heuristic,P1_Depth,P2_Algo,P2_Heuristic,P2_Depth,Winner,Rounds,PlyCount,P1_TotalNodes,P2_TotalNodes,P1_TotalTime_s,P2_TotalTime_s
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,1,alphabeta,mobility_diff,5,alphabeta,adaptive,5,B,10,19,147441,113314,4.3851,5.3639
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,2,alphabeta,mobility_diff,5,alphabeta,adaptive,5,B,10,19,147441,113314,4.4370,5.5139
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,1,alphabeta,adaptive,5,alphabeta,combined,5,B,10,19,147441,113314,7.2491,3.5240
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,2,alphabeta,adaptive,5,alphabeta,combined,5,B,10,19,147441,113314,7.2850,3.5372
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,1,alphabeta,combined,5,alphabeta,adaptive,5,B,10,19,147441,113314,4.7081,5.4555
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,2,alphabeta,combined,5,alphabeta,adaptive,5,B,10,19,147441,113314,4.7132,5.4526
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,1,alphabeta,adaptive,5,alphabeta,adaptive,5,B,10,19,147441,113314,7.2257,5.4059
E4_Adaptive_Deep_Dive,Experiment 4: Adaptive Heuristic Deep Dive,2,alphabeta,adaptive,5,alphabeta,adaptive,5,B,10,19,147441,113314,7.2574,5.3916
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,1,alphabeta,combined,3,alphabeta,combined,2,B,10,19,6385,566,0.2126,0.0153
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,2,alphabeta,combined,3,alphabeta,combined,2,B,10,19,6385,566,0.2138,0.0152
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,1,alphabeta,adaptive,2,minimax,piece_diff,2,B,12,23,653,5224,0.0268,0.0863
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,2,alphabeta,adaptive,2,minimax,piece_diff,2,B,12,23,653,5224,0.0276,0.0871
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,1,alphabeta,mobility_diff,3,alphabeta,piece_diff,2,B,10,19,6385,566,0.2095,0.0090
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,2,alphabeta,mobility_diff,3,alphabeta,piece_diff,2,B,10,19,6385,566,0.1976,0.0091
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,1,alphabeta,adaptive,3,alphabeta,combined,3,B,10,19,6385,5288,0.3403,0.1717
E5_Asymmetric_Configs,Experiment 5: Asymmetric Configurations,2,alphabeta,adaptive,3,alphabeta,combined,3,B,10,19,6385,5288,0.3407,0.1748
